ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,LOCATION_ID,TIME_ID,PRODUCT_ID,CUSTOMER_ID
10107,30,95.7,2,2871.0,L1,T1,P1,C1
10121,34,81.35,5,2765.9,L2,T2,P1,C2
10134,41,94.74,2,3884.34,L3,T3,P1,C3
10145,45,83.26,6,3746.7,L4,T4,P1,C4
10159,49,100.0,14,5205.27,L5,T5,P1,C5
10168,36,96.66,1,3479.76,L6,T6,P1,C6
10180,29,86.13,9,2497.77,L7,T7,P1,C7
10188,48,100.0,1,5512.32,L8,T8,P1,C8
10201,22,98.57,2,2168.54,L9,T9,P1,C9
10211,41,100.0,14,4708.44,L10,T10,P1,C10
10223,37,100.0,1,3965.66,L11,T11,P1,C11
10237,23,100.0,7,2333.12,L12,T12,P1,C12
10251,28,100.0,2,3188.64,L13,T13,P1,C13
10263,34,100.0,2,3676.76,L14,T14,P1,C14
10275,45,92.83,1,4177.35,L15,T15,P1,C15
10285,36,100.0,6,4099.68,L16,T16,P1,C16
10299,23,100.0,9,2597.39,L17,T17,P1,C17
10309,41,100.0,5,4394.38,L18,T18,P1,C18
10318,46,94.74,1,4358.04,L19,T19,P1,C19
10329,42,100.0,1,4396.14,L1,T20,P1,C1
10341,41,100.0,9,7737.93,L20,T21,P1,C20
10361,20,72.55,13,1451.0,L21,T22,P1,C21
10375,21,34.91,12,733.11,L15,T23,P1,C15
10388,42,76.36,4,3207.12,L22,T24,P1,C22
10403,24,100.0,7,2434.56,L23,T25,P1,C23
10417,66,100.0,2,7516.08,L24,T26,P1,C24
10103,26,100.0,11,5404.62,L18,T27,P2,C18
10112,29,100.0,1,7209.11,L25,T28,P2,C25
10126,38,100.0,11,7329.06,L26,T29,P2,C26
10140,37,100.0,11,7374.1,L6,T30,P2,C6
10150,45,100.0,8,10993.5,L27,T31,P2,C27
10163,21,100.0,1,4860.24,L28,T32,P2,C28
10174,34,100.0,4,8014.82,L29,T33,P2,C29
10183,23,100.0,8,5372.57,L30,T34,P2,C30
10194,42,100.0,11,7290.36,L31,T35,P2,C31
10206,47,100.0,6,9064.89,L32,T36,P2,C32
10215,35,100.0,3,6075.3,L33,T37,P2,C33
10228,29,100.0,2,6463.23,L34,T38,P2,C34
